index,index2,id,name,problemTimeLimit,problemMemoryLimit,maxScore,solvedUser,submissions,recommendations,isSolved,bookmark,recommend,successRate,score,userScore,AC,TLE,MLE,WA,RTE,cat
185,185,9,Prime Number,1,65536,0,3792,23955,0,False,False,False,0,0.32,0,6400,8209,152,5784,3360,9
186,186,10,Circumscribed Circle of a Triangle,1,65536,0,1835,6290,0,False,False,False,0,0.32,0,2318,45,1,3552,374,6
187,187,11,Drawing Lots,1,65536,0,3536,5900,0,False,False,False,0,0.32,0,4099,29,8,948,814,1
188,188,12,A Point in a Triangle,1,65536,0,1782,5541,0,False,False,False,0,0.32,0,2284,68,1,2933,255,6
189,189,13,Switching Railroad Cars,1,65536,0,2950,6448,0,False,False,False,0,0.32,0,3605,122,3,1748,965,500
190,190,14,Integral,1,65536,0,2763,4276,0,False,False,False,0,0.32,0,3230,112,0,769,159,7
191,191,15,National Budget,1,65536,0,1849,9850,0,False,False,False,0,0.32,0,2361,941,8,4569,1969,0
192,192,16,Treasure Hunt,1,65536,0,1848,3874,0,False,False,False,0,0.32,0,2146,93,6,1485,142,6
193,193,17,Caesar Cipher,1,65536,0,1711,7865,0,False,False,False,0,0.32,0,2236,643,54,4285,647,2
194,194,18,Sorting Five Numbers,1,65536,0,2670,7143,0,False,False,False,0,0.32,0,3212,70,5,3488,366,100
195,195,19,Factorial,1,65536,0,2706,8910,0,False,False,False,0,0.32,0,3664,141,1,4677,414,0
196,196,20,Capitalize,1,65536,0,2452,5021,0,False,False,False,0,0.32,0,2937,70,2,1567,445,2
197,197,21,Parallelism,1,65536,0,1768,10989,0,False,False,False,0,0.32,0,2283,35,0,8053,618,6
198,198,22,Maximum Sum Sequence,1,65536,0,1751,7357,0,False,False,False,0,0.32,0,2260,813,62,3782,430,12
199,199,23,Circles Intersection,1,65536,0,1440,4957,0,False,False,False,0,0.32,0,1738,23,0,3088,108,6
200,200,24,Physical Experiments,1,65536,0,1819,4012,0,False,False,False,0,0.32,0,2190,92,0,1628,102,0
201,201,25,Hit and Blow,1,65536,0,2286,4588,0,False,False,False,0,0.32,0,2727,246,1,1146,468,4
202,202,26,Dropping Ink,1,65536,0,1699,4476,0,False,False,False,0,0.32,0,2118,146,7,1610,594,4
203,203,27,What day is today?,1,65536,0,1984,3839,0,False,False,False,0,0.32,0,2308,54,0,1209,262,0
204,204,28,Mode Value,1,65536,0,2126,3662,0,False,False,False,0,0.32,0,2526,66,4,696,370,1
205,205,29,English Sentence,1,65536,0,1759,3584,0,False,False,False,0,0.32,0,2198,18,8,1121,238,510
206,206,30,Sum of Integers,1,65536,0,1534,4021,0,False,False,False,0,0.32,0,2081,216,21,1466,237,200
207,207,31,Weight,1,65536,0,1710,4284,0,False,False,False,0,0.32,0,2037,84,12,1987,164,0
208,208,32,Plastic Board,1,65536,0,1693,2910,0,False,False,False,0,0.32,0,1881,115,4,772,138,0
209,209,33,Ball,1,65536,0,2189,6384,0,False,False,False,0,0.32,0,3232,36,1,2879,228,500
210,210,34,Railway Lines,1,65536,0,1319,2219,0,False,False,False,0,0.32,0,1476,123,0,536,80,4
211,211,35,Is it Convex?,1,65536,0,933,2297,0,False,False,False,0,0.32,0,1108,41,5,1077,66,6
