id,name,problemTimeLimit,problemMemoryLimit,maxScore,solvedUser,submissions,recommendations,isSolved,bookmark,recommend,successRate,score,userScore
0021,Parallelism,1,65536,0,1768,10989,0,false,false,false,0,0.32,0
0022,Maximum Sum Sequence,1,65536,0,1751,7357,0,false,false,false,0,0.32,0
0023,Circles Intersection,1,65536,0,1440,4957,0,false,false,false,0,0.32,0
0024,Physical Experiments,1,65536,0,1819,4012,0,false,false,false,0,0.32,0
0025,Hit and Blow,1,65536,0,2286,4588,0,false,false,false,0,0.32,0
0026,Dropping Ink,1,65536,0,1699,4476,0,false,false,false,0,0.32,0
0027,What day is today?,1,65536,0,1984,3839,0,false,false,false,0,0.32,0
0028,Mode Value,1,65536,0,2126,3662,0,false,false,false,0,0.32,0
0029,English Sentence,1,65536,0,1759,3584,0,false,false,false,0,0.32,0
0030,Sum of Integers,1,65536,0,1534,4021,0,false,false,false,0,0.32,0
0031,Weight,1,65536,0,1710,4284,0,false,false,false,0,0.32,0
0032,Plastic Board,1,65536,0,1693,2910,0,false,false,false,0,0.32,0
0033,Ball,1,65536,0,2189,6384,0,false,false,false,0,0.32,0
0034,Railway Lines,1,65536,0,1319,2219,0,false,false,false,0,0.32,0
0035,Is it Convex?,1,65536,0,933,2297,0,false,false,false,0,0.32,0
0036,A Figure on Surface,1,65536,0,1134,3705,0,false,false,false,0,0.32,0
0037,Path on a Grid,1,65536,0,592,1792,0,false,false,false,0,0.32,0
0038,Poker Hand,1,65536,0,1112,2246,0,false,false,false,0,0.32,0
0039,Roman Figure,1,65536,0,1093,1786,0,false,false,false,0,0.32,0
0040,Affine Cipher,1,65536,0,731,2004,0,false,false,false,0,0.32,0
0041,Expression,1,65536,0,550,1538,0,false,false,false,0,0.32,0
0042,A Thief,1,65536,0,1060,5265,0,false,false,false,0,0.32,0
0043,Puzzle,1,65536,0,612,1284,0,false,false,false,0,0.32,0
0044,Prime Number II,1,65536,0,1187,2694,0,false,false,false,0,0.32,0
0045,Sum and Average,1,65536,0,1356,3048,0,false,false,false,0,0.32,0
0046,Differential,1,65536,0,1702,2620,0,false,false,false,0,0.32,0
0047,Cup Game,1,65536,0,1396,2669,0,false,false,false,0,0.32,0
0048,Class,1,65536,0,1396,2353,0,false,false,false,0,0.32,0
0049,Blood Groups,1,65536,0,1396,2420,0,false,false,false,0,0.32,0
0050,Apple and Peach,1,65536,0,1199,3144,0,false,false,false,0,0.32,0
0051,Differential II,1,65536,0,1275,1922,0,false,false,false,0,0.32,0
0052,Factorial II,1,65536,0,1150,2134,0,false,false,false,0,0.32,0
0053,Sum of Prime Numbers,1,65536,0,1104,2756,0,false,false,false,0,0.32,0
0054,Sum of Nth decimal places,1,65536,0,881,3023,0,false,false,false,0,0.32,0
0055,Sequence,1,65536,0,1160,2151,0,false,false,false,0,0.32,0
0056,Goldbach's Conjecture,1,65536,0,890,4133,0,false,false,false,0,0.32,0
0057,The Number of Area,1,65536,0,1192,1828,0,false,false,false,0,0.32,0
0058,Orthogonal,1,65536,0,789,2893,0,false,false,false,0,0.32,0
0059,Intersection of Rectangles,1,65536,0,712,1978,0,false,false,false,0,0.32,0
0060,Card Game,1,65536,0,944,1695,0,false,false,false,0,0.32,0
0061,Rank Checker,1,65536,0,827,1469,0,false,false,false,0,0.32,0
0062,What is the Bottommost?,1,65536,0,1085,1741,0,false,false,false,0,0.32,0
0063,Palindrome,1,65536,0,1165,1966,0,false,false,false,0,0.32,0
0064,Secret Number,1,65536,0,910,2379,0,false,false,false,0,0.32,0
0065,Trading,1,65536,0,668,1506,0,false,false,false,0,0.32,0
0066,Tic Tac Toe,1,65536,0,869,2017,0,false,false,false,0,0.32,0
0067,The Number of Island,1,65536,0,1009,2590,0,false,false,false,0,0.32,0
0068,Enclose Pins with a Rubber Band,1,65536,0,465,1034,0,false,false,false,0,0.32,0
0069,Drawing Lots II,1,65536,0,417,1411,0,false,false,false,0,0.32,0
0070,Combination of Number Sequences,1,65536,0,477,3952,0,false,false,false,0,0.32,0
0071,Bombs Chain,1,65536,0,845,1696,0,false,false,false,0,0.32,0
0072,Carden Lantern,1,65536,0,595,1750,0,false,false,false,0,0.32,0
0073,Surface Area of Quadrangular Pyramid,1,65536,0,1126,1652,0,false,false,false,0,0.32,0
0074,Videotape,1,65536,0,813,1833,0,false,false,false,0,0.32,0
0075,BMI,1,65536,0,1244,2047,0,false,false,false,0,0.32,0
0076,Treasure Hunt II,1,65536,0,597,910,0,false,false,false,0,0.32,0
0077,Run Length,1,65536,0,1122,1769,0,false,false,false,0,0.32,0
0078,Magic Square,1,65536,0,737,1250,0,false,false,false,0,0.32,0
0079,Area of Polygon,1,65536,0,760,1525,0,false,false,false,0,0.32,0
0080,Third Root,1,65536,0,689,1931,0,false,false,false,0,0.32,0
0081,A Symmetric Point,1,65536,0,537,1048,0,false,false,false,0,0.32,0
0082,Flying Jenny,1,65536,0,490,1356,0,false,false,false,0,0.32,0
0083,Era Name Transformation,1,65536,0,774,1592,0,false,false,false,0,0.32,0
0084,Search Engine,1,65536,0,705,1965,0,false,false,false,0,0.32,0
0085,Joseph's Potato,1,65536,0,743,1204,0,false,false,false,0,0.32,0
0086,Patrol,1,65536,0,614,2194,0,false,false,false,0,0.32,0
0087,Strange Mathematical Expression,1,65536,0,654,3213,0,false,false,false,0,0.32,0
0088,The Code A Doctor Loved,1,65536,0,472,1738,0,false,false,false,0,0.32,0
0089,The Shortest Path on A Rhombic Path,1,65536,0,522,1411,0,false,false,false,0,0.32,0
0090,Overlaps of Seals,1,65536,0,325,2689,0,false,false,false,0,0.39384615384615385,0
0091,Blur,8,65536,0,175,1499,0,false,false,false,0,0.7314285714285714,0
0092,Square Searching,1,65536,0,567,2230,0,false,false,false,0,0.32,0
0093,Leap Year,1,65536,0,1147,5056,0,false,false,false,0,0.32,0
0094,Calculation of Area,1,65536,0,920,1321,0,false,false,false,0,0.32,0
0095,Surf Smelt Fishing Contest,1,65536,0,599,1812,0,false,false,false,0,0.32,0
0096,Sum of 4 Integers II,1,65536,0,441,1637,0,false,false,false,0,0.32,0
0097,Sum of Integers II,1,65536,0,325,1661,0,false,false,false,0,0.39384615384615385,0
0098,Maximum Sum Sequence II,1,65536,0,319,996,0,false,false,false,0,0.4012539184952978,0
0099,Surf Smelt Fishing Contest II,1,65536,0,367,2571,0,false,false,false,0,0.34877384196185285,0
0100,Sale Result,1,65536,0,1244,8378,0,false,false,false,0,0.32,0
0101,Aizu PR,1,65536,0,1370,4137,0,false,false,false,0,0.32,0
0102,Matrix-like Computation,1,65536,0,1378,3241,0,false,false,false,0,0.32,0
0103,Baseball Simulation,1,65536,0,1537,2977,0,false,false,false,0,0.32,0
0104,Magical Tiles,1,65536,0,1138,2333,0,false,false,false,0,0.32,0
0105,Book Index,1,65536,0,1001,2037,0,false,false,false,0,0.32,0
0106,Discounts of Buckwheat ,1,65536,0,655,1565,0,false,false,false,0,0.32,0
0107,Carry a Cheese,1,65536,0,932,2026,0,false,false,false,0,0.32,0
0108,Operation of Frequency of Appearance,1,65536,0,769,1624,0,false,false,false,0,0.32,0
0109,Smart Calculator,1,65536,0,693,2908,0,false,false,false,0,0.32,0
0110,Alphametic,1,65536,0,499,3201,0,false,false,false,0,0.32,0
0111,Doctor's Memorable Codes,1,65536,0,395,1262,0,false,false,false,0,0.3240506329113924,0
0112,A Milk Shop,1,65536,0,725,2746,0,false,false,false,0,0.32,0
0113,Period,1,65536,0,395,1068,0,false,false,false,0,0.3240506329113924,0
0114,Electro-Fly,1,65536,0,483,1427,0,false,false,false,0,0.32,0
0115,Starship UAZ Advance,1,65536,0,71,664,0,false,false,false,0,1.8028169014084507,0
0116,Rectangular Searching,1,65536,0,343,993,0,false,false,false,0,0.37317784256559766,0
0117,A reward for a Carpenter,1,65536,0,814,1743,0,false,false,false,0,0.32,0
0118,Property Distribution ,1,65536,0,1246,5535,0,false,false,false,0,0.32,0
0119,Taro's Obsession,1,65536,0,243,557,0,false,false,false,0,0.5267489711934157,0
0120,Patisserie,1,65536,0,315,1396,0,false,false,false,0,0.40634920634920635,0
0121,Seven Puzzle,1,65536,0,651,3364,0,false,false,false,0,0.32,0
0122,Summer of Pyonkichi,1,65536,0,395,1035,0,false,false,false,0,0.3240506329113924,0
0123,Speed Skating Badge Test,1,65536,0,723,1537,0,false,false,false,0,0.32,0
0124,League Match Score Sheet,1,65536,0,564,1962,0,false,false,false,0,0.32,0
0125,Day Count,1,65536,0,494,1257,0,false,false,false,0,0.32,0
0126,Puzzle,1,65536,0,416,1022,0,false,false,false,0,0.32,0
0127,Pocket Pager Input,1,65536,0,512,1555,0,false,false,false,0,0.32,0
0128,Abacus ,1,65536,0,457,1221,0,false,false,false,0,0.32,0
0129,Hide-and-Seek Supporting System,1,65536,0,250,764,0,false,false,false,0,0.512,0
0130,Train,1,65536,0,527,824,0,false,false,false,0,0.32,0
0131,Doctor's Strange Particles,1,65536,0,234,733,0,false,false,false,0,0.5470085470085471,0
